Id,TxnDate,Period,Entity,EntityName,BankAccountName,BankAccountMask,BankName,Description,Payee,Amount,TxnType,CategoryAccountNum,CategoryAccountName,Classification,CurrencyRef_value,ExchangeRate,AmountUSD,MatchStatus,ReferenceNumber,Cleared,ReviewNote,RunningBalance
800005,2024-07-12,2024-07,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,RAMP FINANCIAL SOFTWARE - SOFTWARE / IT,Ramp Financial Software,-10777.46,Card Charge,6200,Software Subscriptions - SaaS,Expense,USD,1.0,-10777.46,Matched,TEC-202407,True,,2358739.77
800016,2024-07-12,2024-07,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,NETSUITE SOLUTIONS PARTNER - SOFTWARE / IT,NetSuite Solutions Partner,-8473.76,ACH Payment,6200,Software Subscriptions - SaaS,Expense,EUR,1.09,-9236.4,Matched,TEC-202407,True,,2366564.12
800022,2024-07-18,2024-07,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,SUNDANCE FACILITY SERVICES - REPAIRS & MAINTENANCE - FACILITIES,Sundance Facility Services,-6069.47,ACH Payment,6150,Repairs & Maintenance - Facilities,Expense,USD,1.0,-6069.47,Matched,OPX-202407,True,,2374017.62
800011,2024-07-18,2024-07,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,VERTEX TELECOM - TELECOM & INTERNET,Vertex Telecom,-6849.47,ACH Payment,6130,Telecom & Internet,Expense,USD,1.0,-6849.47,Matched,OPX-202407,True,,2366503.33
800006,2024-07-18,2024-07,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,CONSOLIDATED POWER & LIGHT - UTILITIES,Consolidated Power & Light,-9637.65,ACH Payment,6120,Utilities,Expense,USD,1.0,-9637.65,Matched,OPX-202407,True,,2349102.12
800017,2024-07-18,2024-07,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,OFFICEWORKS SUPPLY CO - OFFICE SUPPLIES,OfficeWorks Supply Co,-8457.86,ACH Payment,6140,Office Supplies,Expense,EUR,1.09,-9219.06,Matched,OPX-202407,True,,2358106.26
800001,2024-07-26,2024-07,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,46086.42,Deposit,1100,Accounts Receivable,Asset,USD,1.0,46086.42,Matched,LBX-202407,True,,2395188.54
800012,2024-07-26,2024-07,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,132060.64,Deposit,1100,Accounts Receivable,Asset,EUR,1.09,143946.1,Matched,LBX-202407,True,,2490166.9
800018,2024-07-28,2024-07,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-28373.15,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-28373.15,Matched,PR-202407,True,,2345644.47
800007,2024-07-28,2024-07,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-37961.35,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-37961.35,Matched,PR-202407,True,,2328541.98
800023,2024-07-28,2024-07,MHG,Meridian Holdings Group LLC,Operating Bank - Main,****4021,First Meridian Bank,CORPORATE OVERHEAD - SHARED SERVICES,Harrington & Blake LLP,-149436.38,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-149436.38,Matched,MHG-202407,True,,2250563.62
800002,2024-07-28,2024-07,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-62841.39,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-62841.39,Matched,PR-202407,True,,2332347.15
800013,2024-07-28,2024-07,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-42753.45,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,EUR,1.09,-46601.26,Matched,PR-202407,True,,2447413.45
800044,2024-08-03,2024-08,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-8891.8,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-8891.8,Matched,RNT-202408,True,,2336752.67
800032,2024-08-03,2024-08,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-11993.03,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-11993.03,Matched,RNT-202408,True,,2316548.95
800026,2024-08-03,2024-08,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-16931.28,ACH Payment,6100,Rent - Office,Expense,USD,1.0,-16931.28,Matched,RNT-202408,True,,2315415.87
800038,2024-08-03,2024-08,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-15477.0,ACH Payment,6100,Rent - Office,Expense,EUR,1.09,-16869.93,Matched,RNT-202408,True,,2431936.45
800045,2024-08-08,2024-08,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,INSURANCE PREMIUM INSTALLMENT,WorkSafe Comp Underwriters,-6227.21,ACH Payment,6510,Insurance - Workers Comp,Expense,USD,1.0,-6227.21,Matched,INS-202408,True,,2330525.46
800033,2024-08-08,2024-08,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,INSURANCE PREMIUM INSTALLMENT,WorkSafe Comp Underwriters,-8580.41,ACH Payment,6510,Insurance - Workers Comp,Expense,USD,1.0,-8580.41,Matched,INS-202408,True,,2307968.54
800027,2024-08-08,2024-08,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,INSURANCE PREMIUM INSTALLMENT,WorkSafe Comp Underwriters,-12015.11,ACH Payment,6510,Insurance - Workers Comp,Expense,USD,1.0,-12015.11,Matched,INS-202408,True,,2303400.76
800039,2024-08-08,2024-08,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,INSURANCE PREMIUM INSTALLMENT,WorkSafe Comp Underwriters,-11558.58,ACH Payment,6510,Insurance - Workers Comp,Expense,EUR,1.09,-12598.85,Matched,INS-202408,True,,2420377.87
800046,2024-08-12,2024-08,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,CLOUDSPAN TECHNOLOGIES - SOFTWARE / IT,Cloudspan Technologies,-5571.95,Card Charge,6210,IT Infrastructure & Cloud Hosting,Expense,USD,1.0,-5571.95,Matched,TEC-202408,True,,2324953.51
800034,2024-08-12,2024-08,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,"CLOUDSPAN TECHNOLOGIES, INC. - SOFTWARE / IT","Cloudspan Technologies, Inc.",-7920.85,Card Charge,6210,IT Infrastructure & Cloud Hosting,Expense,USD,1.0,-7920.85,Matched,TEC-202408,True,,2300047.69
800028,2024-08-12,2024-08,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,"CLOUDSPAN TECHNOLOGIES, INC. - SOFTWARE / IT","Cloudspan Technologies, Inc.",-11040.41,Card Charge,6210,IT Infrastructure & Cloud Hosting,Expense,USD,1.0,-11040.41,Matched,TEC-202408,True,,2292360.35
800040,2024-08-12,2024-08,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,RAMP FINANCIAL SOFTWARE - SOFTWARE / IT,Ramp Financial Software,-8887.27,Card Charge,6140,Office Supplies,Expense,EUR,1.09,-9687.12,Matched,TEC-202408,True,MISCODED,2411490.6
800047,2024-08-18,2024-08,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,HARRINGTON & BLAKE LLP - PROFESSIONAL FEES - LEGAL,Harrington & Blake LLP,-6406.66,ACH Payment,6300,Professional Fees - Legal,Expense,USD,1.0,-6406.66,Matched,OPX-202408,True,,2318546.85
800035,2024-08-18,2024-08,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,SUNDANCE FACILITY SERVICES - REPAIRS & MAINTENANCE - FACILITIES,Sundance Facility Services,-6452.35,ACH Payment,6150,Repairs & Maintenance - Facilities,Expense,USD,1.0,-6452.35,Matched,OPX-202408,True,,2293595.34
800029,2024-08-18,2024-08,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,OFFICEWORKS SUPPLY CO - OFFICE SUPPLIES,OfficeWorks Supply Co,-11732.71,ACH Payment,6140,Office Supplies,Expense,USD,1.0,-11732.71,Matched,OPX-202408,True,,2280627.64
800041,2024-08-18,2024-08,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,DATASTREAM ANALYTICS INC - DATA & MARKET INTELLIGENCE,Datastream Analytics Inc,-10398.45,ACH Payment,6220,Data & Market Intelligence,Expense,EUR,1.09,-11334.31,Matched,OPX-202408,True,,2401092.15
800042,2024-08-26,2024-08,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,207648.02,Deposit,1100,Accounts Receivable,Asset,USD,1.0,207648.02,Matched,LBX-202408,True,,2526194.87
800030,2024-08-26,2024-08,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,154242.6,Deposit,1100,Accounts Receivable,Asset,USD,1.0,154242.6,Matched,LBX-202408,True,,2447837.94
800024,2024-08-26,2024-08,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,439000.56,Deposit,1100,Accounts Receivable,Asset,USD,1.0,439000.56,Matched,LBX-202408,True,,2719628.2
800036,2024-08-26,2024-08,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,89284.16,Deposit,1100,Accounts Receivable,Asset,EUR,1.09,97319.73,Matched,LBX-202408,True,,2490376.31
800043,2024-08-28,2024-08,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-30507.53,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-30507.53,Matched,PR-202408,True,,2495687.34
800031,2024-08-28,2024-08,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-40537.45,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-40537.45,Matched,PR-202408,True,,2407300.49
800048,2024-08-28,2024-08,MHG,Meridian Holdings Group LLC,Operating Bank - Main,****4021,First Meridian Bank,CORPORATE OVERHEAD - SHARED SERVICES,Grantham Audit Group,-147160.06,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-147160.06,Matched,MHG-202408,True,,2103403.56
800025,2024-08-28,2024-08,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-57580.95,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-57580.95,Matched,PR-202408,True,,2662047.25
800037,2024-08-28,2024-08,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-46975.75,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,EUR,1.09,-51203.56,Matched,PR-202408,True,,2443400.56
800069,2024-09-03,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-9279.9,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-9279.9,Matched,RNT-202409,True,,2486407.44
800057,2024-09-03,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-13130.76,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-13130.76,Matched,RNT-202409,True,,2394169.73
800051,2024-09-03,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-18543.56,ACH Payment,6100,Rent - Office,Expense,USD,1.0,-18543.56,Matched,RNT-202409,True,,2643503.69
800063,2024-09-03,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-16680.86,ACH Payment,6100,Rent - Office,Expense,EUR,1.09,-18182.14,Matched,RNT-202409,True,,2426719.7
800080,2024-09-05,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,FEDERATED EQUIP FINANCE - QUARTERLY NOTE PAYMENT,Federated Equipment Finance,-12149.03,ACH Payment,2410,Equipment Notes Payable,Liability,USD,1.0,-12149.03,Matched,LN-202409,True,,2474258.41
800079,2024-09-05,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,FEDERATED EQUIP FINANCE - QUARTERLY NOTE PAYMENT,Federated Equipment Finance,-29150.71,ACH Payment,2410,Equipment Notes Payable,Liability,USD,1.0,-29150.71,Matched,LN-202409,True,,2365019.02
800078,2024-09-05,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,FEDERATED EQUIP FINANCE - QUARTERLY NOTE PAYMENT,Federated Equipment Finance,-43133.03,ACH Payment,2410,Equipment Notes Payable,Liability,USD,1.0,-43133.03,Matched,LN-202409,True,,2600370.66
800070,2024-09-08,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-6794.39,ACH Payment,6500,Insurance - Liability & Cargo,Expense,USD,1.0,-6794.39,Matched,INS-202409,True,,2467464.02
800058,2024-09-08,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-9156.74,ACH Payment,6500,Insurance - Liability & Cargo,Expense,USD,1.0,-9156.74,Matched,INS-202409,True,,2355862.28
800052,2024-09-08,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-12796.87,ACH Payment,6500,Insurance - Liability & Cargo,Expense,USD,1.0,-12796.87,Matched,INS-202409,True,,2587573.79
800064,2024-09-08,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,INSURANCE PREMIUM INSTALLMENT,Ironclad Insurance Brokers,-11320.27,ACH Payment,6500,Insurance - Liability & Cargo,Expense,EUR,1.09,-12339.09,Matched,INS-202409,True,,2415399.43
800690,2024-09-11,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,RETURNED ITEM - NSF,,18087.65,Deposit,9000,Suspense / Ask My Accountant,Expense,USD,1.0,18087.65,Unmatched,,False,NEEDS CATEGORIZATION,2485551.67
800071,2024-09-12,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,RAMP FINANCIAL SOFTWARE - SOFTWARE / IT,Ramp Financial Software,-6047.98,Card Charge,6140,Office Supplies,Expense,USD,1.0,-6047.98,Matched,TEC-202409,True,MISCODED,2479503.69
800059,2024-09-12,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,NETSUITE SOLUTIONS PARTNER - SOFTWARE / IT,NetSuite Solutions Partner,-7581.86,ACH Payment,6200,Software Subscriptions - SaaS,Expense,USD,1.0,-7581.86,Matched,TEC-202409,True,,2348280.42
800053,2024-09-12,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,NETSUITE SOLUTIONS PARTNER - SOFTWARE / IT,NetSuite Solutions Partner,-11272.66,ACH Payment,6200,Software Subscriptions - SaaS,Expense,USD,1.0,-11272.66,Matched,TEC-202409,True,,2576301.13
800065,2024-09-12,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,NETSUITE SOLUTIONS PARTNER - SOFTWARE / IT,NetSuite Solutions Partner,-10373.22,Card Charge,6200,Software Subscriptions - SaaS,Expense,EUR,1.09,-11306.81,Matched,TEC-202409,True,,2405026.21
800072,2024-09-18,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,NIMBUS DEV CONTRACTORS - REPAIRS & MAINTENANCE - FACILITIES,Nimbus Dev Contractors,-6168.43,ACH Payment,6150,Repairs & Maintenance - Facilities,Expense,USD,1.0,-6168.43,Matched,OPX-202409,True,MISCODED,2473335.26
800060,2024-09-18,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,HARRINGTON & BLAKE LLP - PROFESSIONAL FEES - LEGAL,Harrington & Blake LLP,-7965.24,ACH Payment,6300,Professional Fees - Legal,Expense,USD,1.0,-7965.24,Matched,OPX-202409,True,,2340315.18
800054,2024-09-18,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,DATASTREAM ANALYTICS INC - DATA & MARKET INTELLIGENCE,Datastream Analytics Inc,-10849.54,ACH Payment,6220,Data & Market Intelligence,Expense,USD,1.0,-10849.54,Matched,OPX-202409,True,,2565451.59
800066,2024-09-18,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,GRANTHAM AUDIT GROUP - PROFESSIONAL FEES - AUDIT & TAX,Grantham Audit Group,-10401.11,ACH Payment,6310,Professional Fees - Audit & Tax,Expense,EUR,1.09,-11337.21,Matched,OPX-202409,True,,2394625.1
800077,2024-09-25,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,AP RUN - VENDOR BILL SETTLEMENT,Multiple vendors,-311641.79,ACH Payment,2000,Accounts Payable,Liability,USD,1.0,-311641.79,Matched,APR-202409,True,,2161693.47
800075,2024-09-25,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,AP RUN - VENDOR BILL SETTLEMENT,Multiple vendors,-709478.16,ACH Payment,2000,Accounts Payable,Liability,USD,1.0,-709478.16,Matched,APR-202409,True,,1630837.02
800074,2024-09-25,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,AP RUN - VENDOR BILL SETTLEMENT,Multiple vendors,-1195117.1,ACH Payment,2000,Accounts Payable,Liability,USD,1.0,-1195117.1,Matched,APR-202409,True,,1370334.49
800076,2024-09-25,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,AP RUN - VENDOR BILL SETTLEMENT,Multiple vendors,-437271.16,ACH Payment,2000,Accounts Payable,Liability,EUR,1.09,-476625.56,Matched,APR-202409,True,,1957353.94
800067,2024-09-26,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,98836.83,Deposit,1100,Accounts Receivable,Asset,USD,1.0,98836.83,Matched,LBX-202409,True,,2260530.3
800055,2024-09-26,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,484204.14,Deposit,1100,Accounts Receivable,Asset,USD,1.0,484204.14,Matched,LBX-202409,True,,2115041.16
800049,2024-09-26,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,341780.36,Deposit,1100,Accounts Receivable,Asset,USD,1.0,341780.36,Matched,LBX-202409,True,,1712114.85
800061,2024-09-26,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,ACH BATCH DEPOSIT - CUSTOMER RECEIPTS,Lockbox settlement,314547.77,Deposit,1100,Accounts Receivable,Asset,EUR,1.09,342857.07,Matched,LBX-202409,True,,2271901.71
800068,2024-09-28,2024-09,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-31217.6,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-31217.6,Matched,PR-202409,True,,2229312.7
800056,2024-09-28,2024-09,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-44870.0,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-44870.0,Matched,PR-202409,True,,2070171.16
800073,2024-09-28,2024-09,MHG,Meridian Holdings Group LLC,Operating Bank - Main,****4021,First Meridian Bank,CORPORATE OVERHEAD - SHARED SERVICES,Grantham Audit Group,-142655.31,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-142655.31,Matched,MHG-202409,True,,1960748.25
800050,2024-09-28,2024-09,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-67830.47,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,USD,1.0,-67830.47,Matched,PR-202409,True,,1644284.38
800062,2024-09-28,2024-09,NWC,Northwind Cargo B.V.,Operating Bank - Main,****9105,ING Zakelijk,"NORTHSTAR PAYROLL - WAGES, TAXES & BENEFITS",Northstar Payroll Services,-50826.96,ACH Payment,6000,"Salaries, Wages & Benefits",Expense,EUR,1.09,-55401.39,Matched,PR-202409,True,,2221074.75
800101,2024-10-03,2024-10,APX,Apex Warehousing LLC,Operating Bank - Main,****5560,First Meridian Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-10058.96,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-10058.96,Matched,RNT-202410,True,,2219253.74
800089,2024-10-03,2024-10,CFS,Cascade Freight Systems Inc,Operating Bank - Main,****2298,Cascade Regional Bank,GATEWAY INDUSTRIAL PARKS - MONTHLY RENT & OCCUPANCY,Gateway Industrial Parks,-13813.31,ACH Payment,6110,Rent - Warehouse & Yard,Expense,USD,1.0,-13813.31,Matched,RNT-202410,True,,2056357.85
800083,2024-10-03,2024-10,MLG,Meridian Logistics LLC,Operating Bank - Main,****7734,First Meridian Bank,STERLING PROPERTY HOLDINGS - MONTHLY RENT & OCCUPANCY,Sterling Property Holdings,-21398.8,ACH Payment,6100,Rent - Office,Expense,USD,1.0,-21398.8,Matched,RNT-202410,True,,1622885.58
