Id,AccountNumber,Name,FullyQualifiedName,SubAccount,Active,Classification,AccountType,AccountSubType,NormalBalance,CurrentBalanceUSD,Bal_MHG,Bal_MLG,Bal_CFS,Bal_NWC,Bal_APX,CurrencyRef_value,CurrencyRef_name,domain,sparse,SyncToken,MetaData_CreateTime
1022,2090,Sales & VAT Payable,Sales & VAT Payable,False,True,Liability,Other Current Liability,SalesTaxPayable,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1023,2100,Deferred Revenue,Deferred Revenue,False,True,Liability,Other Current Liability,DeferredRevenue,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1024,2200,Due To Affiliates,Due To Affiliates,False,True,Liability,Other Current Liability,OtherCurrentLiabilities,Credit,-1184738.52,0,-523755.74,-297667.37,-285365.28,-77950.13,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1025,2300,Credit Card - Corporate,Credit Card - Corporate,False,True,Liability,Credit Card,CreditCard,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1026,2400,Revolving Line of Credit,Revolving Line of Credit,False,True,Liability,Long Term Liability,NotesPayable,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1027,2410,Equipment Notes Payable,Equipment Notes Payable,False,True,Liability,Long Term Liability,NotesPayable,Credit,836634.19,0,460108.11,239108.8,0,137417.28,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1028,2420,Seller Note - Cascade Acquisition,Seller Note - Cascade Acquisition,False,True,Liability,Long Term Liability,NotesPayable,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1029,2500,Lease Liability - Operating,Lease Liability - Operating,False,True,Liability,Long Term Liability,OtherLongTermLiabilities,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1030,3000,Common Stock / Member Units,Common Stock / Member Units,False,True,Equity,Equity,OpeningBalanceEquity,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1031,3100,Additional Paid-In Capital,Additional Paid-In Capital,False,True,Equity,Equity,PaidInCapitalOrSurplus,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1032,3200,Retained Earnings,Retained Earnings,False,True,Equity,Equity,RetainedEarnings,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1033,4000,Revenue - Freight Brokerage,Revenue - Freight Brokerage,False,True,Revenue,Income,ServiceFeeIncome,Credit,-13607356.89,0,-1266687.11,-4950414.11,-7390255.67,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1034,4010,Revenue - Dedicated Fleet,Revenue - Dedicated Fleet,False,True,Revenue,Income,ServiceFeeIncome,Credit,-3845726.58,0,0,-3845726.58,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1035,4020,Revenue - LTL Consolidation,Revenue - LTL Consolidation,False,True,Revenue,Income,ServiceFeeIncome,Credit,-5923931.24,0,-3385016.36,0,0,-2538914.88,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1036,4030,Revenue - Warehousing & Storage,Revenue - Warehousing & Storage,False,True,Revenue,Income,ServiceFeeIncome,Credit,-2566102.31,0,0,0,0,-2566102.31,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1037,4040,Revenue - Fulfillment & Pick-Pack,Revenue - Fulfillment & Pick-Pack,False,True,Revenue,Income,ServiceFeeIncome,Credit,-838971.05,0,0,0,0,-838971.05,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1038,4050,Revenue - Customs & Compliance,Revenue - Customs & Compliance,False,True,Revenue,Income,ServiceFeeIncome,Credit,-1262342.92,0,0,0,-1262342.92,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1039,4060,Revenue - Last Mile Delivery,Revenue - Last Mile Delivery,False,True,Revenue,Income,ServiceFeeIncome,Credit,-6910835.65,0,-6910835.65,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1040,4070,Revenue - Fuel Surcharge,Revenue - Fuel Surcharge,False,True,Revenue,Income,OtherPrimaryIncome,Credit,-3107859.21,0,-1981754.5,-1126104.71,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1041,4080,Revenue - Accessorial & Detention,Revenue - Accessorial & Detention,False,True,Revenue,Income,OtherPrimaryIncome,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1042,4090,Revenue - Software & Data Services,Revenue - Software & Data Services,False,True,Revenue,Income,ServiceFeeIncome,Credit,-5682864.89,0,-3914231.08,0,-1768633.81,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1043,4950,Intercompany Management Fee Income,Intercompany Management Fee Income,False,True,Revenue,Income,OtherPrimaryIncome,Credit,-1285108.02,-1285108.02,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1044,5000,COGS - Purchased Transportation,COGS - Purchased Transportation,False,True,Cost of Goods Sold,Cost of Goods Sold,SuppliesAndMaterialsCogs,Debit,12811861.44,0,8193909.66,2094173.36,2523778.42,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1045,5010,COGS - Owner Operator Settlements,COGS - Owner Operator Settlements,False,True,Cost of Goods Sold,Cost of Goods Sold,SuppliesAndMaterialsCogs,Debit,2822113.47,0,2106200.15,0,715913.32,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1046,5020,COGS - Fuel,COGS - Fuel,False,True,Cost of Goods Sold,Cost of Goods Sold,SuppliesAndMaterialsCogs,Debit,3495378.49,0,1227974.55,2267403.94,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1047,5030,COGS - Driver Wages,COGS - Driver Wages,False,True,Cost of Goods Sold,Cost of Goods Sold,CostOfLabourCos,Debit,2229828.73,0,0,2229828.73,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1048,5040,COGS - Warehouse Labor,COGS - Warehouse Labor,False,True,Cost of Goods Sold,Cost of Goods Sold,CostOfLabourCos,Debit,1820582.34,0,0,0,0,1820582.34,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1049,5050,COGS - Temp & Contract Labor,COGS - Temp & Contract Labor,False,True,Cost of Goods Sold,Cost of Goods Sold,CostOfLabourCos,Debit,1249076.12,0,0,0,513822.65,735253.47,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1050,5060,COGS - Equipment Lease & Rental,COGS - Equipment Lease & Rental,False,True,Cost of Goods Sold,Cost of Goods Sold,OtherCostsOfServiceCos,Debit,538798.26,0,0,0,0,538798.26,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1051,5070,COGS - Maintenance & Repairs,COGS - Maintenance & Repairs,False,True,Cost of Goods Sold,Cost of Goods Sold,OtherCostsOfServiceCos,Debit,1711162.96,0,870512.43,840650.53,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1052,5080,"COGS - Tolls, Permits & Fees","COGS - Tolls, Permits & Fees",False,True,Cost of Goods Sold,Cost of Goods Sold,OtherCostsOfServiceCos,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1053,5090,COGS - Cargo Claims & Damages,COGS - Cargo Claims & Damages,False,True,Cost of Goods Sold,Cost of Goods Sold,OtherCostsOfServiceCos,Debit,234838.5,0,0,0,0,234838.5,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1054,5110,COGS - Customs Duties & Brokerage,COGS - Customs Duties & Brokerage,False,True,Cost of Goods Sold,Cost of Goods Sold,OtherCostsOfServiceCos,Debit,1331071.51,0,0,0,1331071.51,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1055,6000,"Salaries, Wages & Benefits","Salaries, Wages & Benefits",False,True,Expense,Expense,PayrollExpenses,Debit,9537206.03,3904677.14,1887081.47,1177373.83,1629343.54,938730.05,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1056,6060,Recruiting & Onboarding,Recruiting & Onboarding,False,True,Expense,Expense,OtherMiscellaneousServiceCost,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1057,6100,Rent - Office,Rent - Office,False,True,Expense,Expense,RentOrLeaseOfBuildings,Debit,1022383.18,0,521090.56,0,501292.62,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1058,6110,Rent - Warehouse & Yard,Rent - Warehouse & Yard,False,True,Expense,Expense,RentOrLeaseOfBuildings,Debit,617109.54,0,0,328931.46,0,288178.08,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1059,6120,Utilities,Utilities,False,True,Expense,Expense,Utilities,Debit,97681.34,0,47593.29,0,50088.05,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1060,6130,Telecom & Internet,Telecom & Internet,False,True,Expense,Expense,Utilities,Debit,60156.04,0,0,31512.72,0,28643.32,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1061,6140,Office Supplies,Office Supplies,False,True,Expense,Expense,OfficeGeneralAdministrativeExpenses,Debit,386189.65,0,150307.73,50437.13,135377.72,50067.07,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1062,6150,Repairs & Maintenance - Facilities,Repairs & Maintenance - Facilities,False,True,Expense,Expense,RepairMaintenance,Debit,83106.04,0,0,50248.49,0,32857.55,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1063,6200,Software Subscriptions - SaaS,Software Subscriptions - SaaS,False,True,Expense,Expense,OfficeGeneralAdministrativeExpenses,Debit,372216.39,0,118817.74,75218.27,127005.01,51175.37,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1064,6210,IT Infrastructure & Cloud Hosting,IT Infrastructure & Cloud Hosting,False,True,Expense,Expense,OfficeGeneralAdministrativeExpenses,Debit,350697.64,0,104376.51,77145.77,93020.6,76154.76,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1065,6220,Data & Market Intelligence,Data & Market Intelligence,False,True,Expense,Expense,OfficeGeneralAdministrativeExpenses,Debit,101932.14,0,52761.11,0,49171.03,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1066,6300,Professional Fees - Legal,Professional Fees - Legal,False,True,Expense,Expense,LegalProfessionalFees,Debit,62908.64,0,0,33318.76,0,29589.88,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1067,6310,Professional Fees - Audit & Tax,Professional Fees - Audit & Tax,False,True,Expense,Expense,LegalProfessionalFees,Debit,110716.08,0,57166.67,0,53549.41,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1068,6320,Professional Fees - Consulting,Professional Fees - Consulting,False,True,Expense,Expense,LegalProfessionalFees,Debit,467133.69,0,0,19294.67,424948.32,22890.7,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1069,6330,Contract Labor - Non-Ops,Contract Labor - Non-Ops,False,True,Expense,Expense,LegalProfessionalFees,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1070,6400,Marketing & Advertising,Marketing & Advertising,False,True,Expense,Expense,AdvertisingPromotional,Debit,113466.22,0,56619.55,0,56846.67,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1071,6420,Travel,Travel,False,True,Expense,Expense,Travel,Debit,67539.12,0,0,37164.72,0,30374.4,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1072,6430,Meals & Entertainment,Meals & Entertainment,False,True,Expense,Expense,TravelMeals,Debit,205872.07,0,120856.17,32702.09,52313.81,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1073,6500,Insurance - Liability & Cargo,Insurance - Liability & Cargo,False,True,Expense,Expense,Insurance,Debit,577728.42,0,187544.24,116068.95,175395.66,98719.57,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1074,6510,Insurance - Workers Comp,Insurance - Workers Comp,False,True,Expense,Expense,Insurance,Debit,581717.79,0,183259.61,117275.96,180467.93,100714.29,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1075,6600,Bank Fees & Merchant Charges,Bank Fees & Merchant Charges,False,True,Expense,Expense,BankCharges,Debit,142060.01,25294.99,32184.43,20904.48,34515.87,29160.24,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1076,6610,Bad Debt Expense,Bad Debt Expense,False,True,Expense,Expense,BadDebts,Debit,114257.04,0,55867.28,8930.02,30438.97,19020.77,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1077,6630,"Licenses, Permits & Regulatory","Licenses, Permits & Regulatory",False,True,Expense,Expense,TaxesPaid,Debit,68424.12,0,0,36211.11,0,32213.01,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1078,6700,Depreciation Expense,Depreciation Expense,False,True,Expense,Expense,OtherMiscellaneousServiceCost,Debit,3696187.21,0,537402.67,1682658.31,415795.24,1060330.99,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1079,6710,Amortization - Intangibles,Amortization - Intangibles,False,True,Expense,Expense,OtherMiscellaneousServiceCost,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1080,6800,Intercompany Management Fee Expense,Intercompany Management Fee Expense,False,True,Expense,Expense,OtherMiscellaneousServiceCost,Debit,1184738.52,0,523755.74,297667.37,285365.28,77950.13,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1081,7000,Interest Expense,Interest Expense,False,True,Expense,Other Expense,OtherMiscellaneousExpense,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1082,7010,Interest Income,Interest Income,False,True,Revenue,Other Income,OtherMiscellaneousIncome,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1083,7020,Realized FX Gain / (Loss),Realized FX Gain / (Loss),False,True,Revenue,Other Income,OtherMiscellaneousIncome,Credit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1084,7030,Unrealized FX Gain / (Loss),Unrealized FX Gain / (Loss),False,True,Revenue,Other Income,OtherMiscellaneousIncome,Credit,-96340.48,0,0,0,-96340.48,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1085,7900,Income Tax Expense,Income Tax Expense,False,True,Expense,Other Expense,OtherMiscellaneousExpense,Debit,0.0,0,0,0,0,0,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
1086,9000,Suspense / Ask My Accountant,Suspense / Ask My Accountant,False,True,Expense,Other Expense,OtherMiscellaneousExpense,Debit,29157.2,31089.18,-50434.86,44001.1,24007.47,-19505.69,USD,US Dollar,QBO,False,0,2024-06-01T09:00:00-07:00
