date,MLG,CFS,NWC,APX
2024-09-09,50.7221,32.2673,65.3861,27.2835
2024-09-10,50.7622,32.5713,65.5758,27.2462
2024-09-11,50.4089,32.5375,65.8505,27.4519
2024-09-12,51.1359,32.9308,66.8817,27.8288
2024-09-13,50.882,32.7599,66.9123,27.6612
2024-09-16,51.6555,33.1103,67.2808,27.9597
2024-09-17,51.7232,33.5016,67.0032,28.0664
2024-09-18,51.6557,33.2722,67.0252,28.0976
2024-09-19,51.5499,33.2267,66.478,27.739
2024-09-20,51.3776,33.4016,66.4397,27.79
2024-09-23,51.7099,34.1927,67.3745,28.1348
2024-09-24,51.3169,33.8722,67.104,28.2417
2024-09-25,51.0087,33.2787,65.9687,27.9883
2024-09-26,50.9966,32.9366,65.6208,27.7046
2024-09-27,51.2321,32.6174,65.4833,27.356
2024-09-30,50.7471,31.9871,64.5986,27.2913
2024-10-01,51.1537,32.4675,64.7228,27.5843
2024-10-02,51.3556,32.487,65.5344,27.7891
2024-10-03,51.3467,32.268,65.1741,27.6363
2024-10-04,51.8422,32.3312,65.3982,27.6273
2024-10-07,51.3941,32.2309,65.5725,27.532
2024-10-08,51.0483,32.4702,65.7704,27.48
2024-10-09,51.649,32.8556,66.6188,27.5336
2024-10-10,51.5406,32.8619,66.5795,27.6127
2024-10-11,51.7517,32.4093,66.3262,27.5279
2024-10-14,51.9144,32.5173,66.7579,27.6355
2024-10-15,51.2238,32.0046,66.3439,27.5473
2024-10-16,51.3211,32.0874,66.5801,27.4125
2024-10-17,51.2385,32.1005,66.6993,27.6471
2024-10-18,52.1727,32.5483,67.7056,27.8586
2024-10-21,52.7955,33.1036,68.7126,28.1306
2024-10-22,52.8049,33.0119,68.9368,28.2012
2024-10-23,52.812,32.9957,68.977,28.2913
2024-10-24,52.843,32.2851,68.497,27.8569
2024-10-25,52.471,32.2248,67.5936,27.6729
2024-10-28,52.7158,32.1999,67.9367,27.6689
2024-10-29,53.6004,33.1654,68.529,27.7941
2024-10-30,53.7073,33.261,68.6601,27.9412
2024-10-31,54.4661,33.7467,69.947,28.573
2024-11-01,55.266,34.3442,70.2675,28.9472
2024-11-04,55.5074,34.8986,71.1859,29.4276
2024-11-05,56.0916,35.2466,72.0683,29.6181
2024-11-06,55.5648,35.3512,71.9434,29.8312
2024-11-07,55.3494,34.8302,71.6051,29.4066
2024-11-08,55.7461,34.7431,71.8618,29.4911
2024-11-11,56.3952,35.1538,71.1853,29.506
2024-11-12,56.2213,35.082,70.9388,29.4824
2024-11-13,56.9409,35.4926,71.2136,29.5398
2024-11-14,57.2025,35.9686,71.4541,29.5751
2024-11-15,57.2872,35.8357,71.679,29.9484
2024-11-18,58.4294,36.9333,72.285,30.5857
2024-11-19,57.7753,36.0845,71.3156,30.3553
2024-11-20,57.0483,36.0888,70.7224,30.2811
2024-11-21,56.7354,35.542,69.8783,30.062
2024-11-22,56.7655,35.4363,69.9278,30.169
2024-11-25,57.5764,36.2928,71.2657,30.2559
2024-11-26,56.8781,35.7811,70.2681,29.9831
2024-11-27,57.1501,36.3003,71.7799,30.1776
2024-11-28,57.2907,36.507,71.9925,30.226
2024-11-29,57.3537,36.9409,72.2929,30.2198
2024-12-02,57.3404,36.9607,72.5492,30.1996
2024-12-03,57.1947,37.1325,72.932,30.1588
2024-12-04,57.4961,37.3371,73.7245,30.5863
2024-12-05,56.8404,36.9005,72.7407,30.3172
2024-12-06,56.8698,36.8627,72.8924,30.1272
2024-12-09,57.4901,37.2184,74.0092,30.3851
2024-12-10,57.2602,36.8726,74.0491,29.9293
2024-12-11,56.7574,36.545,73.4181,29.6037
2024-12-12,56.934,36.4842,73.8934,29.7745
2024-12-13,56.3769,36.0689,74.168,29.4791
2024-12-16,55.8649,35.9216,74.5545,29.4406
2024-12-17,56.1283,36.2879,74.6596,29.4007
2024-12-18,55.7446,35.8318,73.7293,29.0744
2024-12-19,55.621,35.5633,73.7634,28.7129
2024-12-20,56.1721,36.2701,75.0379,28.7747
2024-12-23,55.0001,35.5907,74.593,28.3047
2024-12-24,55.5483,35.7979,74.7677,28.5606
2024-12-25,55.697,36.1608,75.0577,28.7094
2024-12-26,55.6627,36.4995,75.2783,28.6475
2024-12-27,55.6735,36.4984,74.7554,28.8445
2024-12-30,56.1474,36.6936,75.4568,29.1329
2024-12-31,55.6517,36.4652,75.5539,28.9205
2025-01-01,56.1726,36.519,75.9043,29.0308
2025-01-02,55.1636,35.4789,75.4388,28.5254
2025-01-03,55.5401,35.5879,76.2722,28.7618
2025-01-06,54.9035,35.474,75.706,28.5079
2025-01-07,55.7022,36.0309,76.5728,28.8668
2025-01-08,55.4369,35.5772,75.9344,28.5346
2025-01-09,56.0224,35.6113,75.5729,28.5993
2025-01-10,56.7638,35.9095,75.795,29.0131
2025-01-13,56.8483,35.884,75.6686,28.9294
2025-01-14,57.6846,36.4857,76.3101,29.0933
2025-01-15,58.6778,36.9869,76.2371,29.441
2025-01-16,58.9986,37.198,76.6825,29.808
2025-01-17,59.1471,37.7673,77.2541,29.916
2025-01-20,58.7403,37.426,76.863,30.1021
2025-01-21,58.9587,37.4502,77.7867,29.8603
2025-01-22,59.2338,37.6949,77.9723,30.3467
2025-01-23,59.0037,37.6068,78.1608,30.1597
2025-01-24,58.9359,37.1423,77.6838,30.0266
2025-01-27,59.4739,37.2459,78.5097,30.3611
2025-01-28,59.6156,37.8436,79.2875,30.6197
2025-01-29,59.7264,37.9648,80.0405,30.398
2025-01-30,59.7472,37.8684,79.9453,30.1418
2025-01-31,60.5847,38.4626,81.1917,30.3339
2025-02-03,59.8312,37.8999,81.0623,30.1646
2025-02-04,59.1495,37.3232,80.1832,29.8037
2025-02-05,59.4312,38.0753,80.7692,30.1765
2025-02-06,59.6895,38.2192,81.7425,30.3428
2025-02-07,60.4687,38.9252,83.2276,30.5345
2025-02-10,60.3047,38.8064,82.9673,30.4122
2025-02-11,59.9758,38.6666,82.25,30.3164
2025-02-12,60.0513,39.0767,81.9829,30.2098
2025-02-13,60.4563,38.9729,81.8684,30.3412
2025-02-14,61.4501,39.5434,82.7354,30.4507
2025-02-17,61.7341,39.3462,82.2403,30.3726
2025-02-18,61.7544,39.3401,82.7193,30.5922
2025-02-19,61.8655,39.805,83.2427,30.8327
2025-02-20,61.144,39.8475,84.1109,30.5696
2025-02-21,61.3501,39.7443,84.0065,30.5092
2025-02-24,60.938,39.3429,83.6754,30.3436
2025-02-25,61.1856,39.3687,83.9144,30.5221
2025-02-26,62.0132,40.0011,84.7807,30.7051
2025-02-27,61.1615,39.2973,83.4784,30.1552
2025-02-28,61.4836,39.7211,83.5853,30.1122
2025-03-03,61.416,40.0771,83.8711,30.5324
2025-03-04,60.8902,39.6694,82.9123,30.161
2025-03-05,61.7679,40.0186,83.9831,30.6267
2025-03-06,61.4315,39.4735,83.4989,30.4017
2025-03-07,61.5132,39.2904,83.6011,30.3411
2025-03-10,62.1808,40.0034,84.8069,30.8457
2025-03-11,62.8308,40.5807,85.3402,30.7564
2025-03-12,61.9473,39.8111,83.8718,30.3173
2025-03-13,61.5443,39.3555,82.6078,30.0804
2025-03-14,62.3554,40.5199,84.0643,30.3964
2025-03-17,61.4775,40.1471,83.5478,30.3334
2025-03-18,61.4036,39.634,82.3461,29.943
2025-03-19,61.6034,40.0083,81.9706,30.0543
2025-03-20,62.233,40.3074,81.7942,30.267
2025-03-21,62.037,39.8054,81.3397,30.0394
2025-03-24,61.8328,40.0641,80.6321,30.1195
2025-03-25,61.048,39.2292,79.7973,29.9122
2025-03-26,61.1797,39.4347,80.1237,30.1608
2025-03-27,62.0956,39.914,80.7414,30.5052
2025-03-28,62.4901,39.8246,80.6015,30.6366
2025-03-31,62.7978,39.5581,80.027,30.6958
2025-04-01,62.8456,40.0702,79.7114,30.8945
2025-04-02,62.5933,39.5985,78.5325,30.6067
2025-04-03,63.9419,39.8112,79.0113,30.9186
2025-04-04,63.1726,38.8643,77.7226,30.2498
2025-04-07,63.4696,39.3937,77.3752,30.5733
2025-04-08,62.8645,39.1721,76.9385,30.4797
2025-04-09,62.4704,39.1526,76.1825,30.4496
2025-04-10,62.3455,39.0654,75.7144,30.4295
2025-04-11,62.1262,38.92,75.2965,30.2971
2025-04-14,63.0358,39.8178,76.1331,30.653
2025-04-15,63.3332,40.2374,75.8398,30.6348
2025-04-16,62.9204,39.7659,75.9835,30.625
2025-04-17,63.2764,39.4938,75.8953,30.2992
2025-04-18,63.8828,39.7847,76.0165,30.2577
2025-04-21,63.7194,39.2716,75.1923,29.8102
2025-04-22,63.7092,39.2095,75.4283,29.7174
2025-04-23,63.9947,39.301,75.1368,30.0059
2025-04-24,63.7752,38.7997,74.4845,29.8382
2025-04-25,64.1785,39.0822,75.0964,29.8898
2025-04-28,65.021,39.556,75.6389,30.1556
2025-04-29,66.1726,40.3855,76.4883,30.5626
2025-04-30,66.0696,40.5534,76.5016,30.3878
2025-05-01,65.0183,39.604,75.448,29.9631
2025-05-02,65.2746,40.0433,75.6677,30.3177
2025-05-05,65.3756,39.5626,74.9357,29.9137
2025-05-06,65.3426,40.2092,75.3567,30.1875
2025-05-07,65.5229,40.4767,75.3964,30.3763
2025-05-08,64.9059,39.8825,75.1088,29.9729
2025-05-09,65.2448,39.9952,75.6238,30.3061
2025-05-12,65.2841,39.7932,76.2668,30.2461
2025-05-13,65.0608,39.4159,76.2507,30.3897
2025-05-14,63.8825,39.0199,75.6656,30.2171
2025-05-15,63.6027,38.6584,75.324,29.9754
2025-05-16,63.4971,38.7993,75.0152,30.005
2025-05-19,64.2683,39.4476,75.4018,30.2395
2025-05-20,64.429,39.8764,75.1235,30.3722
2025-05-21,64.7088,39.9361,74.7031,30.124
2025-05-22,64.5574,39.5186,75.0052,30.0479
2025-05-23,64.4843,39.1338,74.2329,29.8261
2025-05-26,64.045,38.6797,73.3798,29.6625
2025-05-27,63.0741,38.4176,73.1006,29.5233
2025-05-28,62.5923,38.56,72.6785,29.4845
2025-05-29,62.6536,38.7635,73.0054,29.8064
2025-05-30,62.8387,39.2496,72.5393,29.8327
2025-06-02,63.8211,39.0356,73.0037,30.1655
2025-06-03,65.0494,39.891,74.9039,30.4725
2025-06-04,64.4353,40.0198,74.5006,30.3671
2025-06-05,64.2573,39.8372,74.2996,30.4788
2025-06-06,63.5745,39.7499,74.4101,30.3177
2025-06-09,64.0427,39.7344,74.2988,30.4836
2025-06-10,62.4386,38.1842,72.3725,29.8613
2025-06-11,62.4646,38.6574,72.775,29.942
2025-06-12,62.1974,39.0786,72.4441,30.1051
2025-06-13,61.9299,39.5764,72.6556,30.1756
2025-06-16,62.0299,40.0293,73.0886,30.3373
2025-06-17,61.2104,39.2396,71.5666,30.0778
2025-06-18,61.5208,40.1811,72.5362,30.3117
2025-06-19,60.7883,39.3789,72.178,29.9626
2025-06-20,60.6901,39.6542,71.8086,29.9807
2025-06-23,60.899,40.0492,71.4689,29.7933
2025-06-24,60.9943,39.6241,72.0319,29.9182
2025-06-25,60.1395,39.3945,71.2567,29.6525
2025-06-26,60.8585,39.7229,71.8024,29.8597
2025-06-27,60.4655,39.5739,71.1045,29.463
2025-06-30,59.9338,39.3691,71.2193,29.5502
2025-07-01,60.3133,39.7805,71.5059,29.5798
2025-07-02,60.6334,40.0785,72.1,29.6646
2025-07-03,61.1501,40.3519,72.464,29.99
2025-07-04,60.4379,40.1635,72.1979,29.8555
2025-07-07,60.4198,40.8069,72.3998,30.0645
2025-07-08,60.711,40.5942,72.7834,29.9271
2025-07-09,60.5305,40.7399,73.2261,30.0574
2025-07-10,60.6296,41.445,73.967,29.9026
2025-07-11,59.6482,40.9985,72.7631,29.5154
2025-07-14,59.8596,41.0478,72.6236,29.2806
2025-07-15,59.7313,41.0837,72.419,29.3054
2025-07-16,59.721,41.5262,72.2036,29.2804
2025-07-17,60.7736,42.7401,73.2905,29.5769
2025-07-18,60.7421,42.5019,72.5551,29.3184
2025-07-21,60.3661,42.1568,72.1905,29.3658
2025-07-22,59.5349,41.2314,71.4194,28.9341
2025-07-23,60.0633,41.8158,72.1803,29.1687
2025-07-24,59.9418,41.483,71.5832,28.9237
2025-07-25,59.9419,41.5252,72.1239,28.9232
2025-07-28,60.1459,41.7605,72.2019,28.967
2025-07-29,61.0231,42.9596,73.6038,29.4125
2025-07-30,60.6672,42.2693,72.9643,29.2957
2025-07-31,61.129,42.7876,73.1683,29.5326
2025-08-01,60.5037,42.6014,72.8459,29.5107
2025-08-04,61.2455,43.3981,73.9448,29.7768
2025-08-05,62.1405,44.1427,74.7523,30.2799
2025-08-06,62.5473,43.8657,74.669,30.3862
2025-08-07,62.1903,43.4743,73.5492,29.9241
2025-08-08,62.3941,43.4772,73.7878,30.0859
2025-08-11,61.7653,42.4769,72.3846,29.6479
2025-08-12,61.6465,42.3629,72.4615,29.8626
2025-08-13,62.5469,43.6138,72.914,30.1756
2025-08-14,62.8974,44.2245,73.5182,30.2438
2025-08-15,62.5539,43.5443,72.8493,30.0166
2025-08-18,63.0692,44.3055,73.8112,30.2016
2025-08-19,63.9324,45.7459,74.5719,30.6041
2025-08-20,65.1501,46.7517,75.9838,30.8049
2025-08-21,65.4008,46.9018,76.795,31.1073
2025-08-22,66.0045,47.2763,77.2476,31.3913
2025-08-25,65.9497,47.3947,76.8611,30.9987
2025-08-26,67.1613,48.2663,78.1485,31.3588
2025-08-27,66.7066,48.0305,77.8304,31.1997
2025-08-28,66.7625,47.4397,77.0224,31.1984
2025-08-29,67.0487,47.7467,77.5989,31.2567
2025-09-01,67.6673,47.809,77.9738,31.3352
2025-09-02,67.7132,48.0057,78.8085,31.65
2025-09-03,68.0649,47.9185,79.3001,31.5675
2025-09-04,67.1021,47.4201,78.9676,31.5159
2025-09-05,67.3615,47.4012,79.0281,31.5943
2025-09-08,67.7283,47.748,79.1676,31.9006
2025-09-09,67.2156,46.8038,77.9599,31.5984
2025-09-10,67.4749,46.8541,77.6017,31.5721
2025-09-11,66.8665,46.4735,77.7513,31.3313
2025-09-12,67.2322,46.6515,77.8171,31.3841
2025-09-15,67.2618,46.2122,77.6779,31.1738
2025-09-16,68.1439,46.9074,77.9784,31.398
2025-09-17,68.6124,47.3903,78.1597,31.494
2025-09-18,68.9427,47.8103,78.4442,31.6573
2025-09-19,68.9164,47.7719,78.3884,31.9979
2025-09-22,68.5917,47.527,77.4627,31.9801
2025-09-23,68.3912,47.7644,77.3208,31.8027
2025-09-24,67.024,46.1806,75.4181,31.0505
2025-09-25,66.5178,45.8637,75.1857,30.8042
2025-09-26,66.6549,45.7132,74.1927,30.7637
2025-09-29,66.8254,45.5689,74.0783,30.8403
2025-09-30,65.5164,44.2513,73.0491,30.2387
2025-10-01,65.3813,43.7862,72.4176,30.1321
2025-10-02,65.8221,43.9267,72.5109,30.1406
2025-10-03,65.0839,43.4067,72.1737,30.098
2025-10-06,65.3665,43.4595,72.7734,29.995
2025-10-07,65.1199,43.4442,72.9714,30.1891
2025-10-08,66.4807,44.4642,74.3552,30.6914
2025-10-09,66.4551,44.3554,74.6443,30.3161
2025-10-10,66.5355,44.2249,74.5727,30.465
2025-10-13,66.8642,44.8987,75.2526,30.8735
2025-10-14,66.4757,44.6615,75.7334,30.6951
2025-10-15,66.2225,44.6581,76.0052,30.7827
2025-10-16,66.3755,44.3508,75.951,30.7099
2025-10-17,67.0052,45.0271,76.43,31.0073
2025-10-20,67.3084,44.367,76.6885,30.8297
2025-10-21,67.0629,44.4554,76.6666,30.8166
2025-10-22,66.7248,44.6345,76.4629,30.8522
2025-10-23,67.076,44.6974,77.0143,31.0815
2025-10-24,67.6321,44.7101,77.2557,31.5322
2025-10-27,67.8608,44.7742,77.783,31.4235
2025-10-28,67.3068,44.3641,76.853,31.1531
2025-10-29,67.1617,44.9312,77.4853,31.4803
2025-10-30,68.4195,45.8324,79.1992,32.0619
2025-10-31,69.0904,46.2811,80.0565,32.2525
2025-11-03,69.1407,45.754,79.6753,32.1835
2025-11-04,68.8577,45.8734,79.5859,32.2557
2025-11-05,68.2298,45.6277,79.576,32.1675
2025-11-06,68.2672,45.5718,79.2351,32.1935
2025-11-07,68.1575,45.5891,79.3271,32.261
2025-11-10,67.248,45.232,78.2406,31.859
2025-11-11,66.2292,45.0554,77.5024,31.717
2025-11-12,67.7166,46.6785,78.6724,32.2885
2025-11-13,67.3374,47.1427,78.4,32.4199
2025-11-14,67.5818,47.3219,78.3611,32.5617
2025-11-17,67.9828,47.3817,78.5479,32.5074
2025-11-18,67.8814,47.2335,79.0065,32.4943
2025-11-19,67.9107,47.4049,79.8064,32.4797
2025-11-20,67.6574,47.1925,79.987,32.1028
2025-11-21,67.2374,46.8189,79.4605,31.4852
2025-11-24,67.043,46.5083,79.4549,31.6207
2025-11-25,66.8385,46.4389,79.2867,31.574
2025-11-26,66.0605,45.4349,78.3296,31.2858
2025-11-27,66.9482,46.1023,79.2734,31.51
2025-11-28,67.394,46.6238,80.0482,31.6093
2025-12-01,66.9594,46.8099,79.339,31.493
2025-12-02,67.2666,47.5746,79.4572,31.7278
2025-12-03,66.3636,46.9014,78.5384,31.7657
2025-12-04,66.2371,46.8539,77.4664,31.4679
2025-12-05,66.1092,46.777,76.8012,31.2065
2025-12-08,65.3614,45.5765,75.696,31.1472
2025-12-09,65.4219,44.6455,75.7132,31.3494
2025-12-10,65.3534,44.807,75.4172,31.4544
2025-12-11,64.8496,44.0631,74.8938,31.2774
2025-12-12,65.0821,44.1366,74.8228,31.3214
2025-12-15,64.2394,43.4609,73.8843,30.8283
2025-12-16,65.683,44.4993,75.0445,31.5349
2025-12-17,65.6017,44.643,74.9517,31.544
2025-12-18,66.9218,46.0494,75.7487,31.9619
2025-12-19,67.0207,45.7783,75.7936,31.9909
2025-12-22,67.9125,46.3258,77.0339,32.3274
2025-12-23,68.3161,46.8291,77.4264,32.8335
2025-12-24,69.1758,47.3169,77.8862,32.8807
2025-12-25,68.3034,47.2967,77.3902,32.8389
2025-12-26,68.5646,47.5073,78.0774,32.7562
2025-12-29,68.1949,47.0091,77.5938,32.6565
2025-12-30,68.0826,46.6538,76.6192,32.2927
2025-12-31,67.914,46.0058,76.0638,31.8927
2026-01-01,67.9759,46.1824,75.9275,31.4354
2026-01-02,68.4505,46.3757,76.4117,31.0476
2026-01-05,69.2224,46.3595,76.6226,31.1723
2026-01-06,68.6295,46.484,76.0083,30.8822
2026-01-07,69.7786,47.5444,77.3313,31.403
2026-01-08,69.4905,46.9852,77.2377,32.1683
2026-01-09,69.3354,46.6829,76.2383,31.7975
2026-01-12,69.2033,46.0601,75.1029,31.5377
2026-01-13,69.6494,47.0659,75.0755,31.0859
2026-01-14,70.2075,46.9011,75.0997,30.9469
2026-01-15,69.6425,46.0962,74.574,30.3271
2026-01-16,68.5433,45.7149,74.0587,30.1746
2026-01-19,66.0705,44.0875,72.2198,29.5293
2026-01-20,65.0663,43.5054,71.6005,29.2471
2026-01-21,64.2433,42.1668,69.4057,28.4784
2026-01-22,64.7755,42.0992,68.7725,28.5315
2026-01-23,64.6414,42.4549,68.2681,28.5239
2026-01-26,65.1974,42.466,68.0072,28.5752
2026-01-27,65.2311,43.2094,67.9002,28.966
2026-01-28,65.7337,44.8086,68.6261,28.8831
2026-01-29,66.9091,45.8499,70.3093,29.8633
2026-01-30,67.1561,45.9537,70.7267,29.9981
2026-02-02,68.5275,46.9984,71.751,30.4345
2026-02-03,67.7534,46.5571,70.8863,30.1923
2026-02-04,67.7207,47.1123,71.4462,30.4376
2026-02-05,66.5653,47.288,70.9123,30.3922
2026-02-06,68.3082,48.094,71.9602,30.6154
2026-02-09,67.2363,47.6516,72.1442,31.438
2026-02-10,66.0192,46.5216,70.8998,31.2774
2026-02-11,66.5817,46.6617,71.5742,31.3492
2026-02-12,65.1105,46.3511,71.8043,31.2568
2026-02-13,65.0823,46.0056,71.3143,31.2407
2026-02-16,62.4066,44.8682,71.2158,30.898
2026-02-17,62.2487,45.4911,72.1354,30.5409
2026-02-18,61.563,45.4407,72.4932,30.918
2026-02-19,61.0104,45.377,72.714,30.2405
2026-02-20,60.0263,45.1967,72.014,30.0815
2026-02-23,61.2751,45.3858,73.3894,29.8384
2026-02-24,61.521,45.2473,73.0246,29.9902
2026-02-25,59.7961,43.5471,71.1718,29.0137
2026-02-26,60.2329,44.3471,72.4713,29.3155
2026-02-27,59.168,43.0577,71.3142,28.6178
2026-03-02,58.8944,43.6167,72.0918,28.8323
2026-03-03,59.8275,44.227,73.1773,29.1004
2026-03-04,61.0528,45.4047,74.4733,29.2626
2026-03-05,60.7956,44.6434,75.1436,29.0299
2026-03-06,60.8732,45.0303,75.7827,29.4599
2026-03-09,61.1289,44.9435,74.7762,29.3642
2026-03-10,59.7051,43.8696,73.03,28.9086
2026-03-11,59.8687,43.4934,71.5279,28.2949
2026-03-12,60.9412,44.0118,70.5017,28.8212
2026-03-13,61.56,44.1494,70.5476,28.811
2026-03-16,61.7044,44.3397,70.8766,29.0944
2026-03-17,61.8775,44.2529,70.5369,28.9109
2026-03-18,61.8833,44.4777,71.6218,28.423
2026-03-19,62.0764,45.0301,72.353,28.7014
2026-03-20,63.0278,45.3396,73.6772,28.8601
2026-03-23,62.0508,45.3587,72.4692,28.7992
2026-03-24,62.7587,46.5512,72.7173,29.2024
2026-03-25,62.7344,46.8005,72.339,29.0829
2026-03-26,61.5771,45.2647,72.1421,28.8614
2026-03-27,60.4553,45.0017,71.6444,28.7697
2026-03-30,60.8581,45.7813,71.6052,28.6658
2026-03-31,61.4588,45.1503,70.64,28.7646
2026-04-01,62.1088,45.5865,70.3627,28.9511
2026-04-02,61.3707,46.0201,70.554,29.0184
2026-04-03,62.2533,46.75,70.3136,29.4046
2026-04-06,63.0548,48.0074,71.9139,29.9509
2026-04-07,64.1241,48.512,71.9322,29.7381
2026-04-08,65.6585,49.8353,72.2378,30.6513
2026-04-09,65.8144,49.9025,70.7564,30.3992
2026-04-10,66.3935,51.0754,70.5449,30.5849
2026-04-13,66.8717,51.6532,69.8897,30.4736
2026-04-14,67.6678,51.8019,69.7472,30.3549
2026-04-15,68.0501,52.3871,70.8842,30.6866
2026-04-16,68.3824,52.67,71.9616,30.2948
2026-04-17,68.4998,52.6634,71.7366,30.0221
2026-04-20,69.6218,54.5939,74.0983,30.9466
2026-04-21,69.7733,54.3651,74.4926,30.6851
2026-04-22,70.4215,54.0088,74.6247,30.6254
2026-04-23,70.0357,53.8925,75.5046,30.456
2026-04-24,68.3893,53.2638,75.1176,30.2056
2026-04-27,66.5162,51.7627,73.8492,29.7964
2026-04-28,67.8037,52.3852,74.5466,29.9813
2026-04-29,69.0824,53.2971,75.2601,30.133
2026-04-30,69.6541,54.8621,77.0412,30.0524
2026-05-01,70.4331,55.9078,77.2313,30.2552
2026-05-04,69.8799,55.1816,76.7321,30.0206
2026-05-05,70.1534,56.5509,77.3514,30.1565
2026-05-06,71.5008,55.899,78.706,30.4576
2026-05-07,70.9184,55.4006,77.9686,30.1146
2026-05-08,69.2583,53.4814,77.1201,29.3579
2026-05-11,71.2498,53.8338,75.6114,29.5304
2026-05-12,71.5189,53.3079,76.2011,29.4588
2026-05-13,71.2338,53.1902,75.5956,29.0705
2026-05-14,71.812,53.6891,75.7241,29.1806
2026-05-15,72.0884,54.0595,76.7423,29.552
2026-05-18,71.9216,54.3734,76.5901,29.4154
2026-05-19,73.7272,56.0109,79.4962,30.1701
2026-05-20,72.4186,55.1045,79.4547,29.9822
2026-05-21,73.0945,55.8991,79.3293,30.3158
2026-05-22,71.897,54.8984,78.0869,29.6036
2026-05-25,72.6849,55.5058,78.0403,29.6728
2026-05-26,73.4719,55.8637,78.9762,29.7078
2026-05-27,72.9992,55.7205,78.2649,29.4204
2026-05-28,73.3918,55.5395,79.79,29.8792
2026-05-29,73.0903,56.0152,80.5232,30.0446
2026-06-01,72.8557,56.4172,79.663,30.0645
2026-06-02,72.7124,56.6271,80.5137,30.3587
2026-06-03,73.9601,56.9718,81.2956,30.5467
2026-06-04,72.5583,55.0034,78.7616,30.2953
2026-06-05,72.7655,56.3039,78.8286,30.0482
2026-06-08,72.0964,56.4446,79.5699,30.0046
2026-06-09,71.8593,56.8827,79.3577,30.3142
2026-06-10,71.3625,57.3568,81.0082,30.5726
2026-06-11,71.1472,57.7968,82.4613,30.657
2026-06-12,70.2863,56.0896,81.5949,30.6295
2026-06-15,70.2032,54.1568,81.182,30.5493
2026-06-16,70.2299,53.6939,82.3201,30.5489
2026-06-17,70.8262,55.481,83.5411,31.2871
2026-06-18,72.9041,58.3052,86.1749,32.4666
2026-06-19,74.2153,58.977,86.2453,32.7588
2026-06-22,73.7883,58.448,86.3192,33.0313
2026-06-23,74.5852,58.896,86.6102,32.8746
2026-06-24,74.6235,58.7682,85.7224,32.5043
2026-06-25,74.7191,58.833,86.5173,32.6701
2026-06-26,74.0294,59.3415,87.1419,32.9804
2026-06-29,73.8876,60.1853,87.7627,33.0675
2026-06-30,72.7037,58.528,86.8337,33.1165
